N,bit_length,sqrt_N,trials_to_hit,rank_of_hit,p,q,time_s
292413419935471,49,17100099,473,473,17099827,17100373,2.492353916168213
303795696960527,49,17429735,782,782,17429473,17429999,2.3847930431365967
287766947946749,49,16963694,1,1,16963369,16964021,0.0027132034301757812
283146380811187,49,16826953,1631,1631,16826627,16827281,2.397606134414673
1199424601931779,51,34632709,334,334,34632599,34632821,2.474790096282959
1230954067244441,51,35084954,1,1,35084627,35085283,0.0028524398803710938
1145369157879053,51,33843302,1,1,33843037,33843569,0.0028138160705566406
4629917756061877,53,68043498,1,1,68043181,68043817,0.002779245376586914
4642408340713657,53,68135220,1,1,68135149,68135293,0.002785921096801758
4888900093201811,53,69920669,529,529,69920453,69920887,2.531529426574707
18079329710517643,55,134459397,732,732,134459329,134459467,2.6346824169158936
18542805685988741,55,136171970,1,1,136171781,136172161,0.0029010772705078125
18644075505749539,55,136543309,259,259,136543229,136543391,2.670773506164551
72774966977867939,57,269768357,1297,1297,269767973,269768743,2.7201597690582275
74457422943660649,57,272868874,1,1,272868551,272869199,0.0029778480529785156
73463109843792059,57,271040789,360,360,271040611,271040969,2.7401039600372314
309158701896759229,59,556020414,1,1,556020301,556020529,0.00312042236328125
293373942680674001,59,541640048,1,1,541639829,541640269,0.0030298233032226562
297461533053461939,59,545400341,720,720,545399837,545400847,2.833113193511963
315060329238006097,59,561302350,1,1,561302003,561302699,0.0030982494354248047
